well,Date,subsidence,tds,gwr_elev
895,9/17/15,24.48,,
895,9/16/15,28.97,,
895,9/15/15,35.87,,
895,9/14/15,31.52,,
895,9/13/15,23.78,,
895,9/12/15,19.17,,
895,9/11/15,30.06,,
895,9/10/15,30.48,,
895,9/9/15,26.47,,
895,9/8/15,25.13,,
895,9/7/15,16.99,,
895,9/6/15,24.57,,
895,9/5/15,28.24,,
895,9/4/15,24.69,,
895,9/3/15,29.3,,
895,9/2/15,33.09,,
895,9/1/15,30.48,,
895,8/31/15,33.22,,
895,8/30/15,33.14,,
895,8/29/15,33.09,,
895,8/28/15,26.19,,
895,8/27/15,22.82,,
895,8/26/15,21.93,,
895,8/25/15,21.89,,
895,8/24/15,24.37,,
895,8/23/15,29.29,,
895,8/22/15,23.52,,
895,8/21/15,32.36,,
895,8/20/15,32.24,,
895,8/19/15,33.73,,
895,8/18/15,27.38,,
895,8/17/15,34.44,,
895,8/16/15,27.65,,
895,8/15/15,26.09,,
895,8/14/15,20.95,,
895,8/13/15,21.04,,
895,8/12/15,27.42,,
895,8/11/15,30.63,,
895,8/10/15,20.95,,
895,8/9/15,30.4,,
895,8/8/15,31.18,,
895,8/7/15,24.54,,
895,8/6/15,26.86,,
895,8/5/15,26.76,,
895,8/4/15,25.22,,
895,8/3/15,28.56,,
895,8/2/15,27.63,,
895,8/1/15,24.52,,
895,7/31/15,25.02,,
895,7/30/15,25.5,,
895,7/29/15,26.04,,
895,7/28/15,29.97,,
895,7/27/15,29.82,,
895,7/26/15,27.68,,
895,7/25/15,27.6,,
895,7/24/15,22.59,,
895,7/23/15,27.11,,
895,7/22/15,25.41,,
895,7/21/15,16.88,,
895,7/20/15,23.02,,
895,7/19/15,24.66,,
895,7/18/15,17.47,,
895,7/17/15,27.05,,
895,7/16/15,29.02,,
895,7/15/15,27.34,,
895,7/14/15,26.51,,
895,7/13/15,28.17,,
895,7/12/15,30.47,,
895,7/11/15,28.12,,
895,7/10/15,22.53,,
895,7/9/15,32.61,,
895,7/8/15,24.96,,
895,7/7/15,27.02,,
895,7/6/15,23.7,,
895,7/5/15,22.94,,
895,7/4/15,23.39,,
895,7/3/15,31.79,,
895,7/2/15,26,,
895,7/1/15,30.26,,
895,6/30/15,17.46,,
895,6/29/15,23.3,,
895,6/28/15,20.84,,
895,6/27/15,20.15,,
895,6/26/15,23.86,,
895,6/25/15,23.09,,
895,6/24/15,24.15,,
895,6/23/15,24.17,,
895,6/22/15,25.77,,
895,6/21/15,29.22,,
895,6/20/15,25.86,,
895,6/19/15,26.28,,
895,6/18/15,24.75,,
895,6/17/15,18.57,,
895,6/16/15,17.78,,
895,6/15/15,20.23,,
895,6/14/15,28.42,,
895,6/13/15,21,,
895,6/12/15,12.07,,
895,6/11/15,15.84,,
895,6/10/15,23.97,,
895,6/9/15,17.2,,
895,6/8/15,24.17,,
895,6/7/15,20.5,,
895,6/6/15,16.26,,
895,6/5/15,18.26,,
895,6/4/15,23.6,,
895,6/3/15,20.38,,
895,6/2/15,17.57,,
895,6/1/15,17.36,,
895,5/31/15,18.75,,
895,5/30/15,17.51,,
895,5/29/15,21.81,,
895,5/28/15,19.71,,
895,5/27/15,18.09,,
895,5/26/15,20.39,,
895,5/25/15,18.73,,
895,5/24/15,22.74,,
895,5/23/15,19.22,,
895,5/22/15,20.04,,
895,5/21/15,13.81,,
895,5/20/15,18.5,,
895,5/19/15,21.03,,
895,5/18/15,19.8,,
895,5/17/15,18.51,,
895,5/16/15,19.35,,
895,5/15/15,21.1,,
895,5/14/15,17.86,,
895,5/13/15,18.6,,
895,5/12/15,17.83,,
895,5/11/15,16,,
895,5/10/15,21.22,,
895,5/9/15,17.68,,
895,5/8/15,21.82,,
895,5/7/15,26.63,,
895,5/6/15,23.25,,
895,5/5/15,25.05,,
895,5/4/15,19.29,,
895,5/3/15,23.45,,
895,5/2/15,18.73,,
895,5/1/15,23.58,,
